,Area,Cost of Production,Crop,MSP,Mean,Min,Month,Year,Profit,Profit %,Loan wavier
21,Warangal,3460,Paddy,3800.0,1365,1365,April,2016,340.0,9.826589595375722,True
22,Warangal,3460,Paddy,3800.0,1410,1410,April,2016,340.0,9.826589595375722,True
23,Warangal,3460,Paddy,3800.0,1410,1410,April,2016,340.0,9.826589595375722,True
24,Warangal,3460,Paddy,3800.0,1400,1400,April,2016,340.0,9.826589595375722,True
25,Warangal,3460,Paddy,3800.0,1410,1400,April,2016,340.0,9.826589595375722,True
26,Warangal,3460,Paddy,3800.0,1400,1400,April,2016,340.0,9.826589595375722,True
27,Warangal,3460,Paddy,3800.0,1410,1400,April,2016,340.0,9.826589595375722,True
28,Warangal,3460,Paddy,3800.0,1400,1400,April,2016,340.0,9.826589595375722,True
29,Warangal,3460,Paddy,3800.0,1400,1400,April,2016,340.0,9.826589595375722,True
30,Warangal,3460,Paddy,3800.0,1400,1400,May,2016,340.0,9.826589595375722,True
31,Warangal,3460,Paddy,3800.0,1400,1400,May,2016,340.0,9.826589595375722,True
32,Warangal,3460,Paddy,3800.0,1400,1400,May,2016,340.0,9.826589595375722,True
33,Warangal,3460,Paddy,3800.0,1410,1410,May,2016,340.0,9.826589595375722,True
34,Warangal,3460,Paddy,3800.0,1410,1400,May,2016,340.0,9.826589595375722,True
35,Warangal,3460,Paddy,3800.0,1410,1400,May,2016,340.0,9.826589595375722,True
36,Warangal,3460,Paddy,3800.0,1410,1400,May,2016,340.0,9.826589595375722,True
37,Warangal,3460,Paddy,3800.0,1410,1400,May,2016,340.0,9.826589595375722,True
38,Warangal,3460,Paddy,3800.0,1410,1410,May,2016,340.0,9.826589595375722,True
39,Warangal,3460,Paddy,3800.0,1400,1400,May,2016,340.0,9.826589595375722,True
40,Warangal,3460,Paddy,3800.0,1415,1415,May,2016,340.0,9.826589595375722,True
41,Warangal,3460,Paddy,3800.0,1420,1415,May,2016,340.0,9.826589595375722,True
42,Warangal,3460,Paddy,3800.0,1425,1425,May,2016,340.0,9.826589595375722,True
43,Warangal,3460,Paddy,3800.0,1420,1420,June,2016,340.0,9.826589595375722,True
44,Warangal,3460,Paddy,3800.0,1425,1425,June,2016,340.0,9.826589595375722,True
45,Warangal,3460,Paddy,3800.0,1410,1410,June,2016,340.0,9.826589595375722,True
46,Warangal,3460,Paddy,3800.0,1480,1480,September,2016,340.0,9.826589595375722,True
47,Nizamabad,3460,Paddy,3800.0,1310,1310,October,2016,340.0,9.826589595375722,True
48,Nizamabad,3460,Paddy,3800.0,1310,1310,October,2016,340.0,9.826589595375722,True
49,Shadnagar,3460,Paddy,3800.0,1660,1400,October,2016,340.0,9.826589595375722,True
50,Nizamabad,3460,Paddy,3800.0,1310,1310,October,2016,340.0,9.826589595375722,True
51,Nizamabad,3460,Paddy,3800.0,1220,1200,October,2016,340.0,9.826589595375722,True
52,Shadnagar,3460,Paddy,3800.0,1725,1250,October,2016,340.0,9.826589595375722,True
53,Shadnagar,3460,Paddy,3800.0,1715,1280,October,2016,340.0,9.826589595375722,True
54,Nizamabad,3460,Paddy,3800.0,1251,1251,October,2016,340.0,9.826589595375722,True
55,Shadnagar,3460,Paddy,3800.0,1621,1326,October,2016,340.0,9.826589595375722,True
56,Nizamabad,3460,Paddy,3800.0,1291,1291,October,2016,340.0,9.826589595375722,True
57,Nizamabad,3460,Paddy,3800.0,1280,1271,October,2016,340.0,9.826589595375722,True
58,Shadnagar,3460,Paddy,3800.0,1619,1328,October,2016,340.0,9.826589595375722,True
59,Nizamabad,3460,Paddy,3800.0,1275,1271,October,2016,340.0,9.826589595375722,True
60,Nizamabad,3460,Paddy,3800.0,1275,1200,October,2016,340.0,9.826589595375722,True
61,Badepally,3460,Paddy,3800.0,1663,1289,October,2016,340.0,9.826589595375722,True
62,Shadnagar,3460,Paddy,3800.0,1512,1316,October,2016,340.0,9.826589595375722,True
63,Nizamabad,3460,Paddy,3800.0,1275,1250,October,2016,340.0,9.826589595375722,True
64,Badepally,3460,Paddy,3800.0,1653,1528,October,2016,340.0,9.826589595375722,True
65,Nizamabad,3460,Paddy,3800.0,1260,1241,October,2016,340.0,9.826589595375722,True
66,Shadnagar,3460,Paddy,3800.0,1520,1316,October,2016,340.0,9.826589595375722,True
67,Badepally,3460,Paddy,3800.0,1717,1409,October,2016,340.0,9.826589595375722,True
68,Nizamabad,3460,Paddy,3800.0,1230,1211,October,2016,340.0,9.826589595375722,True
69,Badepally,3460,Paddy,3800.0,1738,1708,October,2016,340.0,9.826589595375722,True
70,Badepally,3460,Paddy,3800.0,1727,1711,October,2016,340.0,9.826589595375722,True
71,Badepally,3460,Paddy,3800.0,1609,1401,October,2016,340.0,9.826589595375722,True
72,Badepally,3460,Paddy,3800.0,1634,1509,November,2016,340.0,9.826589595375722,True
73,Nizamabad,3460,Paddy,3800.0,1275,1159,November,2016,340.0,9.826589595375722,True
74,Nizamabad,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
75,Jangaon,3460,Paddy,3800.0,1327,1250,November,2016,340.0,9.826589595375722,True
76,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
77,Badepally,3460,Paddy,3800.0,1663,1429,November,2016,340.0,9.826589595375722,True
78,Shadnagar,3460,Paddy,3800.0,1568,1336,November,2016,340.0,9.826589595375722,True
79,Nizamabad,3460,Paddy,3800.0,1230,1139,November,2016,340.0,9.826589595375722,True
80,Nizamabad,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
81,Badepally,3460,Paddy,3800.0,1786,1628,November,2016,340.0,9.826589595375722,True
82,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
83,Tandur,3460,Paddy,3800.0,1450,1250,November,2016,340.0,9.826589595375722,True
84,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
85,Shadnagar,3460,Paddy,3800.0,1421,1346,November,2016,340.0,9.826589595375722,True
86,Badepally,3460,Paddy,3800.0,1616,1526,November,2016,340.0,9.826589595375722,True
87,Tandur,3460,Paddy,3800.0,1332,1314,November,2016,340.0,9.826589595375722,True
88,Warangal,3460,Paddy,3800.0,1470,1470,November,2016,340.0,9.826589595375722,True
89,Warangal,3460,Paddy,3800.0,1470,1470,November,2016,340.0,9.826589595375722,True
90,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
91,Badepally,3460,Paddy,3800.0,1569,1390,November,2016,340.0,9.826589595375722,True
92,Shadnagar,3460,Paddy,3800.0,1555,1425,November,2016,340.0,9.826589595375722,True
93,Tandur,3460,Paddy,3800.0,1321,1300,November,2016,340.0,9.826589595375722,True
94,Nizamabad,3460,Paddy,3800.0,1111,1010,November,2016,340.0,9.826589595375722,True
95,Nizamabad,3460,Paddy,3800.0,0,0,November,2016,340.0,9.826589595375722,True
96,Badepally,3460,Paddy,3800.0,1769,1390,November,2016,340.0,9.826589595375722,True
97,Shadnagar,3460,Paddy,3800.0,1555,1425,November,2016,340.0,9.826589595375722,True
98,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
99,Nizamabad,3460,Paddy,3800.0,1260,1107,November,2016,340.0,9.826589595375722,True
100,Nizamabad,3460,Paddy,3800.0,0,0,November,2016,340.0,9.826589595375722,True
101,Nizamabad,3460,Paddy,3800.0,0,0,November,2016,340.0,9.826589595375722,True
102,Tandur,3460,Paddy,3800.0,1330,1321,November,2016,340.0,9.826589595375722,True
103,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
104,Badepally,3460,Paddy,3800.0,1749,1469,November,2016,340.0,9.826589595375722,True
105,Tandur,3460,Paddy,3800.0,1300,1290,November,2016,340.0,9.826589595375722,True
106,Warangal,3460,Paddy,3800.0,1460,1460,November,2016,340.0,9.826589595375722,True
107,Nizamabad,3460,Paddy,3800.0,1111,1265,November,2016,340.0,9.826589595375722,True
108,Nizamabad,3460,Paddy,3800.0,0,0,November,2016,340.0,9.826589595375722,True
109,Nizamabad,3460,Paddy,3800.0,0,0,November,2016,340.0,9.826589595375722,True
110,Badepally,3460,Paddy,3800.0,1662,1369,November,2016,340.0,9.826589595375722,True
111,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
112,Tandur,3460,Paddy,3800.0,1325,1300,November,2016,340.0,9.826589595375722,True
113,Nizamabad,3460,Paddy,3800.0,1300,1121,November,2016,340.0,9.826589595375722,True
114,Nizamabad,3460,Paddy,3800.0,0,0,November,2016,340.0,9.826589595375722,True
115,Nizamabad,3460,Paddy,3800.0,0,0,November,2016,340.0,9.826589595375722,True
116,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
117,Badepally,3460,Paddy,3800.0,1729,1609,November,2016,340.0,9.826589595375722,True
118,Shadnagar,3460,Paddy,3800.0,1521,1326,November,2016,340.0,9.826589595375722,True
119,Warangal,3460,Paddy,3800.0,14710,1470,November,2016,340.0,9.826589595375722,True
120,Warangal,3460,Paddy,3800.0,1470,1470,November,2016,340.0,9.826589595375722,True
121,Tandur,3460,Paddy,3800.0,1300,1260,November,2016,340.0,9.826589595375722,True
122,Nizamabad,3460,Paddy,3800.0,1290,1062,November,2016,340.0,9.826589595375722,True
123,Nizamabad,3460,Paddy,3800.0,0,0,November,2016,340.0,9.826589595375722,True
124,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
125,Badepally,3460,Paddy,3800.0,1647,1570,November,2016,340.0,9.826589595375722,True
126,Tandur,3460,Paddy,3800.0,1250,1220,November,2016,340.0,9.826589595375722,True
127,Nizamabad,3460,Paddy,3800.0,1301,1009,November,2016,340.0,9.826589595375722,True
128,Nizamabad,3460,Paddy,3800.0,0,0,November,2016,340.0,9.826589595375722,True
129,Nizamabad,3460,Paddy,3800.0,0,0,November,2016,340.0,9.826589595375722,True
130,Huzurabad,3460,Paddy,3800.0,1470,1470,November,2016,340.0,9.826589595375722,True
131,Badepally,3460,Paddy,3800.0,1569,1453,November,2016,340.0,9.826589595375722,True
132,Tandur,3460,Paddy,3800.0,1331,1200,November,2016,340.0,9.826589595375722,True
133,Nizamabad,3460,Paddy,3800.0,1302,1111,November,2016,340.0,9.826589595375722,True
134,Nizamabad,3460,Paddy,3800.0,0,0,November,2016,340.0,9.826589595375722,True
135,Nizamabad,3460,Paddy,3800.0,0,0,November,2016,340.0,9.826589595375722,True
136,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
137,Badepally,3460,Paddy,3800.0,1669,1559,November,2016,340.0,9.826589595375722,True
138,Tandur,3460,Paddy,3800.0,1300,1220,November,2016,340.0,9.826589595375722,True
139,Nizamabad,3460,Paddy,3800.0,1300,1120,November,2016,340.0,9.826589595375722,True
140,Nizamabad,3460,Paddy,3800.0,0,0,November,2016,340.0,9.826589595375722,True
141,Nizamabad,3460,Paddy,3800.0,0,0,November,2016,340.0,9.826589595375722,True
142,Warangal,3460,Paddy,3800.0,1470,1470,November,2016,340.0,9.826589595375722,True
143,Warangal,3460,Paddy,3800.0,1470,1470,November,2016,340.0,9.826589595375722,True
144,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
145,Badepally,3460,Paddy,3800.0,1569,1429,November,2016,340.0,9.826589595375722,True
146,Shadnagar,3460,Paddy,3800.0,1653,1455,November,2016,340.0,9.826589595375722,True
147,Tandur,3460,Paddy,3800.0,1325,1210,November,2016,340.0,9.826589595375722,True
148,Nizamabad,3460,Paddy,3800.0,1301,1150,November,2016,340.0,9.826589595375722,True
149,Nizamabad,3460,Paddy,3800.0,0,0,November,2016,340.0,9.826589595375722,True
150,Nizamabad,3460,Paddy,3800.0,0,0,November,2016,340.0,9.826589595375722,True
151,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
152,Tandur,3460,Paddy,3800.0,1300,1200,November,2016,340.0,9.826589595375722,True
153,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
154,Badepally,3460,Paddy,3800.0,1636,1429,November,2016,340.0,9.826589595375722,True
155,Tandur,3460,Paddy,3800.0,1330,1200,November,2016,340.0,9.826589595375722,True
156,Huzurabad,3460,Paddy,3800.0,1470,1470,November,2016,340.0,9.826589595375722,True
157,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
158,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
159,Badepally,3460,Paddy,3800.0,1556,1429,November,2016,340.0,9.826589595375722,True
160,Tandur,3460,Paddy,3800.0,1300,1200,November,2016,340.0,9.826589595375722,True
161,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
162,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
163,Badepally,3460,Paddy,3800.0,1589,1429,November,2016,340.0,9.826589595375722,True
164,Tandur,3460,Paddy,3800.0,1300,1220,November,2016,340.0,9.826589595375722,True
165,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
166,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
167,Badepally,3460,Paddy,3800.0,1548,1390,November,2016,340.0,9.826589595375722,True
168,Tandur,3460,Paddy,3800.0,5800,5600,November,2016,340.0,9.826589595375722,True
169,Warangal,3460,Paddy,3800.0,1470,1470,November,2016,340.0,9.826589595375722,True
170,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
171,Badepally,3460,Paddy,3800.0,1659,1430,November,2016,340.0,9.826589595375722,True
172,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
173,Tandur,3460,Paddy,3800.0,1320,1230,November,2016,340.0,9.826589595375722,True
174,Warangal,3460,Paddy,3800.0,1475,1475,November,2016,340.0,9.826589595375722,True
175,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
176,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
177,Badepally,3460,Paddy,3800.0,1549,1352,November,2016,340.0,9.826589595375722,True
178,Shadnagar,3460,Paddy,3800.0,1370,1370,November,2016,340.0,9.826589595375722,True
179,Tandur,3460,Paddy,3800.0,1300,1270,November,2016,340.0,9.826589595375722,True
180,Warangal,3460,Paddy,3800.0,1470,1400,November,2016,340.0,9.826589595375722,True
181,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
182,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
183,Badepally,3460,Paddy,3800.0,1736,1449,November,2016,340.0,9.826589595375722,True
184,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
185,Badepally,3460,Paddy,3800.0,1668,1405,November,2016,340.0,9.826589595375722,True
186,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
187,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
188,Tandur,3460,Paddy,3800.0,1300,1280,November,2016,340.0,9.826589595375722,True
189,Mallapur,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
190,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
191,Badepally,3460,Paddy,3800.0,1630,1449,November,2016,340.0,9.826589595375722,True
192,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
193,Tandur,3460,Paddy,3800.0,1320,1250,November,2016,340.0,9.826589595375722,True
194,Warangal,3460,Paddy,3800.0,1450,1420,November,2016,340.0,9.826589595375722,True
195,Mallapur,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
196,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
197,Jogipet,3460,Paddy,3800.0,1510,1510,November,2016,340.0,9.826589595375722,True
198,Tandur,3460,Paddy,3800.0,1320,1300,December,2016,340.0,9.826589595375722,True
199,Warangal,3460,Paddy,3800.0,1430,1430,December,2016,340.0,9.826589595375722,True
200,Warangal,3460,Paddy,3800.0,1470,1470,December,2016,340.0,9.826589595375722,True
201,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
202,Mallapur,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
203,Badepally,3460,Paddy,3800.0,1369,1229,December,2016,340.0,9.826589595375722,True
204,Asifabad,3460,Paddy,3800.0,5010,5010,December,2016,340.0,9.826589595375722,True
205,Tandur,3460,Paddy,3800.0,1320,1305,December,2016,340.0,9.826589595375722,True
206,Sardarnagar,3460,Paddy,3800.0,1600,1500,December,2016,340.0,9.826589595375722,True
207,Warangal,3460,Paddy,3800.0,1430,1425,December,2016,340.0,9.826589595375722,True
208,Wyra,3460,Paddy,3800.0,1480,1460,December,2016,340.0,9.826589595375722,True
209,Mallapur,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
210,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
211,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
212,Mukugu,3460,Paddy,3800.0,1470,1470,December,2016,340.0,9.826589595375722,True
213,Cherial,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
214,Cherial,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
215,Jogipet,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
216,Badepally,3460,Paddy,3800.0,1678,1229,December,2016,340.0,9.826589595375722,True
217,Tandur,3460,Paddy,3800.0,1330,1315,December,2016,340.0,9.826589595375722,True
218,Sardarnagar,3460,Paddy,3800.0,1600,1500,December,2016,340.0,9.826589595375722,True
219,Wyra,3460,Paddy,3800.0,1480,1460,December,2016,340.0,9.826589595375722,True
220,Mallapur,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
221,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
222,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
223,Mukugu,3460,Paddy,3800.0,1470,1470,December,2016,340.0,9.826589595375722,True
224,Cherial,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
225,Cherial,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
226,Jogipet,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
227,Badepally,3460,Paddy,3800.0,1369,1252,December,2016,340.0,9.826589595375722,True
228,Dharur,3460,Paddy,3800.0,1390,1350,December,2016,340.0,9.826589595375722,True
229,Sardarnagar,3460,Paddy,3800.0,1600,1500,December,2016,340.0,9.826589595375722,True
230,Parkal,3460,Paddy,3800.0,4900,4840,December,2016,340.0,9.826589595375722,True
231,Tandur,3460,Paddy,3800.0,1325,1275,December,2016,340.0,9.826589595375722,True
232,Warangal,3460,Paddy,3800.0,1420,1420,December,2016,340.0,9.826589595375722,True
233,Sardarnagar,3460,Paddy,3800.0,1600,1500,December,2016,340.0,9.826589595375722,True
234,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
235,Cherial,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
236,Parkal,3460,Paddy,3800.0,4950,4850,December,2016,340.0,9.826589595375722,True
237,Mukugu,3460,Paddy,3800.0,1470,1470,December,2016,340.0,9.826589595375722,True
238,Badepally,3460,Paddy,3800.0,1589,1229,December,2016,340.0,9.826589595375722,True
239,Jogipet,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
240,Tandur,3460,Paddy,3800.0,1330,1280,December,2016,340.0,9.826589595375722,True
241,Warangal,3460,Paddy,3800.0,1420,1380,December,2016,340.0,9.826589595375722,True
242,Warangal,3460,Paddy,3800.0,1470,1470,December,2016,340.0,9.826589595375722,True
243,Asifabad,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
244,Sardarnagar,3460,Paddy,3800.0,1600,1500,December,2016,340.0,9.826589595375722,True
245,Wyra,3460,Paddy,3800.0,1480,1460,December,2016,340.0,9.826589595375722,True
246,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
247,Mukugu,3460,Paddy,3800.0,1470,1470,December,2016,340.0,9.826589595375722,True
248,Cherial,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
249,Cherial,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
250,Jogipet,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
251,Badepally,3460,Paddy,3800.0,536,1429,December,2016,340.0,9.826589595375722,True
252,Eturnagaram,3460,Paddy,3800.0,1470,1470,December,2016,340.0,9.826589595375722,True
253,Tandur,3460,Paddy,3800.0,1300,1200,December,2016,340.0,9.826589595375722,True
254,Sardarnagar,3460,Paddy,3800.0,1600,1600,December,2016,340.0,9.826589595375722,True
255,Warangal,3460,Paddy,3800.0,1410,1400,December,2016,340.0,9.826589595375722,True
256,Wyra,3460,Paddy,3800.0,1480,1460,December,2016,340.0,9.826589595375722,True
257,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
258,Jangaon,3460,Paddy,3800.0,1301,1301,December,2016,340.0,9.826589595375722,True
259,Mukugu,3460,Paddy,3800.0,1470,1470,December,2016,340.0,9.826589595375722,True
260,Cherial,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
261,Badepally,3460,Paddy,3800.0,1289,1229,December,2016,340.0,9.826589595375722,True
262,Jogipet,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
263,Tandur,3460,Paddy,3800.0,1325,1280,December,2016,340.0,9.826589595375722,True
264,Warangal,3460,Paddy,3800.0,1420,1420,December,2016,340.0,9.826589595375722,True
265,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
266,Mukugu,3460,Paddy,3800.0,1470,1470,December,2016,340.0,9.826589595375722,True
267,Atmakur(Gudepahad),3460,Paddy,3800.0,5000,5000,December,2016,340.0,9.826589595375722,True
268,Cherial,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
269,Cherial,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
270,Badepally,3460,Paddy,3800.0,1589,1229,December,2016,340.0,9.826589595375722,True
271,Tandur,3460,Paddy,3800.0,1325,1300,December,2016,340.0,9.826589595375722,True
272,Sardarnagar,3460,Paddy,3800.0,1600,1500,December,2016,340.0,9.826589595375722,True
273,Warangal,3460,Paddy,3800.0,1450,1420,December,2016,340.0,9.826589595375722,True
274,Warangal,3460,Paddy,3800.0,1470,1470,December,2016,340.0,9.826589595375722,True
275,Wyra,3460,Paddy,3800.0,1480,1460,December,2016,340.0,9.826589595375722,True
276,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
277,Cherial,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
278,Mukugu,3460,Paddy,3800.0,1470,1470,December,2016,340.0,9.826589595375722,True
279,Badepally,3460,Paddy,3800.0,1712,1351,December,2016,340.0,9.826589595375722,True
280,Boppapur,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
281,Mangapet,3460,Paddy,3800.0,1470,1470,December,2016,340.0,9.826589595375722,True
282,Mangapet,3460,Paddy,3800.0,1470,1470,December,2016,340.0,9.826589595375722,True
283,Tandur,3460,Paddy,3800.0,1325,1280,December,2016,340.0,9.826589595375722,True
284,Sardarnagar,3460,Paddy,3800.0,1650,1650,December,2016,340.0,9.826589595375722,True
285,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
286,Cherial,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
287,Sardarnagar,3460,Paddy,3800.0,1650,1650,December,2016,340.0,9.826589595375722,True
288,Wyra,3460,Paddy,3800.0,1480,1460,December,2016,340.0,9.826589595375722,True
289,Mangapet,3460,Paddy,3800.0,1470,1470,December,2016,340.0,9.826589595375722,True
290,Asifabad,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
291,Wyra,3460,Paddy,3800.0,1480,1460,December,2016,340.0,9.826589595375722,True
292,Asifabad,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
293,Sardarnagar,3460,Paddy,3800.0,1600,1600,December,2016,340.0,9.826589595375722,True
294,Warangal,3460,Paddy,3800.0,1420,1420,December,2016,340.0,9.826589595375722,True
295,Mallapur,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
296,Ibrahimpatnam,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
297,Wyra,3460,Paddy,3800.0,1480,1460,December,2016,340.0,9.826589595375722,True
298,Cherial,3460,Paddy,3800.0,1510,1510,December,2016,340.0,9.826589595375722,True
299,Badepally,3460,Paddy,3800.0,1689,1266,December,2016,340.0,9.826589595375722,True
300,Tandur,3460,Paddy,3800.0,1300,1280,December,2016,340.0,9.826589595375722,True
301,Warangal,3460,Paddy,3800.0,1410,1400,December,2016,340.0,9.826589595375722,True
